B;n;freq
7;4573;0,060182139
8;5097;0,067078146
13;1168;0,015371253
14;5753;0,075711315
15;4291;0,056470929
18;3624;0,047692996
27;2337;0,030755666
35;8946;0,117732214
37;994;0,013081357
38;1818;0,02392546
39;1318;0,0173453
40;2633;0,03465112
41;859;0,011304714
42;89;0,001171268
44;11426;0,150369805
45;1001;0,013173479
46;4;5,26E-05
47;204;0,002684705
48;64;0,00084226
49;2579;0,033940463
50;2851;0,037520069
51;8122;0,106888111
52;560;0,007369779
53;813;0,010699339
54;4;5,26E-05
55;832;0,010949385
56;291;0,003829653
57;2173;0,028597373
58;1422;0,018713974
67;23;0,000302687
73;28;0,000368489
78;82;0,001079146
81;6;7,90E-05
82;1;1,32E-05
